Race,Ability Score Increase (Race),Ability Score Increase (Subrace),Size,Speed,Traits (Race),Traits (Subrace),Proficiencies (Race),,Proficiencies (Subrace),Languages
Hill Dwarf,Constitution +2,Wisdom +1,Medium,25 feet,"Darkvision, Dwarven Resilience, Dwarven Combat Training, Tool Proficiency, Stonecunning",Dwarven Toughness,"Battleaxe, handaxe, light hammer, and warhammer","Smith's tools, brewer's supplies, or mason's tools",,"Common, Dwarvish"
Mountain Dwarf,Constitution +2,Strength +2,Medium,25 feet,"Darkvision, Dwarven Resilience, Dwarven Combat Training, Tool Proficiency, Stonecunning",Dwarven Armor Training,,,Light and medium armor,"Common, Dwarvish"
High Elf,Dexterity +2,Intelligence +1,Medium,30 feet,"Darkvision, Keen Senses, Fey Ancestry, Trance","Elf Weapon Training, Cantrip, Extra Language",Perception skill,,"Longsword, shortsword, shortbow, longbow","Common, Elvish, one extra language of your choice"
Wood Elf,Dexterity +2,Wisdom +1,Medium,35 feet,"Darkvision, Keen Senses, Fey Ancestry, Trance","Elf Weapon Training, Fleet of Foot, Mask of the Wild",Perception skill,,"Longsword, shortsword, shortbow, longbow","Common, Elvish"
Dark Elf (Drow),Dexterity +2,Charisma +1,Medium,30 feet,"Darkvision, Keen Senses, Fey Ancestry, Trance","Superior Darkvision, Sunlight Sensitivity, Drow Magic, Drow Weapon Training",Perception skill,,"Rapiers, shortswords, and hand crossbows","Common, Elvish"
Lightfoot Halfling,Dexterity +2,Charisma +1,Small,25 feet,"Lucky, Brave, Halfling Nimbleness",Naturally Stealthy,,,,"Common, Halfling"
Stout Halfling,Dexterity +2,Constitution +1,Small,25 feet,"Lucky, Brave, Halfling Nimbleness",Stout Resilience,,,,"Common, Halfling"
Human,All Ability Scores +1,,Medium,30 feet,,,,,,"Common, one extra language of your choice"
Dragonborn (Black),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Dragonborn (Blue),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Dragonborn (Brass),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Dragonborn (Bronze),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Dragonborn (Copper),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Dragonborn (Gold),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Dragonborn (Green),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Dragonborn (Red),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Dragonborn (Silver),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Dragonborn (White),"Strength +2, Charisma +1",,Medium,30 feet,,"Draconic Ancestry, Breath Weapon, Damage Resistance (see ""Draconic Ancestry"" table on pg. 34 of Player's Handbook)",,,,"Common, Draconic"
Forest Gnome,Intelligence +2,Dexterity +1,Small,25 feet,"Darkvision, Gnome Cunning","Natural Illusionist, Speak with Small Beasts",,,,"Common, Gnomish"
Rock Gnome,Intelligence +2,Constitution +1,Small,25 feet,"Darkvision, Gnome Cunning","Artificier's Lore, Tinker",,,Artisan's tools (aka tinker's tools),"Common, Gnomish"
Half-Elf,"Charisma +2, Two other ability scores of your choice +1",,Medium,30 feet,"Darkvision, Fey Ancestry, Skill Versatility",,Two skills of your choice,,,"Common, Elvish, one extra language of your choice"
Half-Orc,"Strength +2, Constitution +1",,Medium,30 feet,"Darkvision, Menacing, Relentless Endurance, Savage Attacks",,Intimidation skill,,,"Common, Orc"
Tiefling,"Charisma +2, Intelligence +1",,Medium,30 feet,"Darkvision, Hellish Resistance, Infernal Legacy",,,,,"Common, Infernal"
