Class,Hit Die,Saving Throw Proficiencies,Hit Points,Armor Proficiencies,Weapon Proficiencies,Tool Proficiencies,Class Features (Level 1),Skills,Equipment
Barbarian,d12,"Strength, Constitution",12 + Constitution modifier,"Light and medium armor, shields",Simple and martial weapons,,"Rage, Unarmored Defense","Choose two from Animal Handling, Athletics, Intimidation, Nature, Perception, and Survival",(a) a greataxe or (b) any martial melee weapon; (a) two handaxes or (b) any simple weapon; An explorer's pack and four javelins
Bard,d8,"Dexterity, Charisma",8 + Constitution modifier,Light armor,"Simple weapons, hand crossbows, longswords, rapiers, shortswords",Three musical instruments of your choice,"Spellcasting, Bardic Inspiration (d6)",Choose any three,"(a) a rapier, (b) a longsword, or (c) any simple weapon; (a) a diplomat's pack or (b) an entertainer's pack; (a) a lute or (b) any other musical instrument; Leather armor and a dagger"
Cleric,d8,"Wisdom, Charisma",8 + Constitution modifier,"Light and medium armor, shields",Simple weapons,,"Spellcasting, Divine Domain","Choose two from History, Insight, Medicine, Persuasion, and Religion","(a) a mace or (b) a warhammer (if proficient); (a) scale mail, (b) leather armor, or (c) chain mail (if proficient); (a) a light crossbow and 20 bolts or (b) any simple weapon; (a) a priest's pack or (b) an explorer's pack; A shield and a holy symbol"
Druid,d8,"Intelligence, Wisdom",8 + Constitution modifier,"Light and medium armor (nonmetal), shields (nonmetal)","Clubs, daggers, darts, javelins, maces, quarterstaffs, scimitars, sickles, slings, spears",Herbalism kit,"Druidic, Spellcasting","Choose two from Arcana, Animal Handling, Insight, Medicine, Nature, Perception, Religion, and Survival","(a) a wooden shield or (b) any simple weapon; (a) a scimitar or (b) any simple melee weapon; Leather armor, and explorer's pack, and a druidic focus"
Fighter,d10,"Strength, Constitution",10 + Constitution modifier,"All armor, shields",Simple and martial weapons,,"Fighting Style, Second Wind","Choose two skills from Acrobatics, Animal Handling, Athletics, History, Insight, Intimidation, Perception, and Survival","(a) chain mail or (b) leather armor, longbow, and 20 arrows; (a) a martial weapon and a shield or (b) two martial weapons; (a) a light crossbow and 20 bolts or (b) two handaxes; (a) a dungeoneer's pack or (b) an explorer's pack"
Monk,d8,"Strength, Dexterity",8 + Constitution modifier,,"Simple weapons, shortswords",Choose one type of artisan's tools or one musical instrument,"Unarmored Defense, Martial Arts","Choose two from Acrobatics, Athletics, History, Insight, Religion, and Stealth",(a) a shortsword or (b) any simple weapon; (a) a dungeoneer's pack or (b) an explorer's pack; 10 darts
Paladin,d10,"Wisdom, Charisma",10 + Constitution modifier,"All armor, shields",Simple and martial weapons,,"Divine Sense, Lay on the Hands","Choose two from Athletics, Insight, Intimidation, Medicine, Persuasion, and Religion",(a) a martial weapon and a shield or (b) two martial weapons; (a) five javelins or (b) any simple melee weapon; (a) a priest's pack or (b) an explorer's pack; Chain mail and a holy symbol
Ranger,d10,"Strength, Dexterity",10 + Constitution modifier,"Light and medium armor, shields",Simple and martial weapons,,"Favored Enemy, Natural Explorer","Choose three from Animal Handling, Athletics, Insight, Investigation, Nature, Perception, Stealth, and Survival",(a) scale mail or (b) leather armor; (a) two shortswords or (b) two simple melee weapons; (a) a dungeoneer's pack or (b) an explorer's pack; A longbow and a quiver of 20 arrows
Rogue,d8,"Dexterity, Intelligence",8 + Constitution modifier,Light armor,"Simple weapons, hand crossbows, longswords, rapiers, shortswords",Thieve's tools,"Expertise, Sneak Attack (1d6), Thieve's Cant","Choose four from Acrobatics, Athletics, Deception, Insight, Intimidation, Investigation, Perception, Performance, Persuasion, Sleight of Hand, and Stealth","(a) a rapier or (b) a shortsword; (a) a shortbow and quiver of 20 arrows or (b) a shortsword; (a) a burglar's pack, (b) a dungeoneer's pack, or (c) an explorer's pack; Leather armor, two daggers, and thieve's tools"
Sorcerer,d6,"Constitution, Charisma",6 + Constitution modifier,,"Daggers, darts, slings, quarterstaffs, light crossbows",,"Spellcasting, Sorcerous Origin","Choose two from Arcana, Deception, Insight, Intimidation, Persuasion, and Religion",(a) a light crossbow and 20 bolts or (b) any simple weapon; (a) a component pouch or (b) an arcane focus; (a) a dungeoneer's pack or (b) an explorer's pack; Two daggers
Warlock,d8,"Wisdom, Charisma",8 + Constitution modifier,Light armor,Simple weapons,,"Otherworldly Patron, Pact Magic","Choose two skills from Arcana, Deception, History, Intimidation, Investigation, Nature, and Religion","(a) a light crossbow and 20 bolts or (b) any simple weapon; (a) a component pouch or (b) an arcane focus; (a) a scholar's pack or (b) a dungeoneer's pack; Leather armor, any simple weapon, and two daggers"
Wizard,d6,"Intelligence, Wisdom",6 + Constitution modifier,,"Daggers, darts, slings, quarterstaffs, light crossbows",,"Spellcasting, Arcane Recovery","Choose two from Arcana, History, Insight, Investigation, Medicine, and Religion",(a) a quarterstaff or (b) a dagger; (a) a component pouch or (b) an arcane focus; (a) a scholar's pack or (b) an explorer's pack; A spellbook
